Period,Label1,Value
2016-01-01,New Zealand passport,6154
2016-01-01,Other passports,12362
2016-01-01,Total,18516
2016-01-02,New Zealand passport,6909
2016-01-02,Other passports,14223
2016-01-02,Total,21132
2016-01-03,New Zealand passport,8003
2016-01-03,Other passports,14216
2016-01-03,Total,22219
2016-01-04,New Zealand passport,7587
2016-01-04,Other passports,13638
2016-01-04,Total,21225
2016-01-05,New Zealand passport,7105
2016-01-05,Other passports,12299
2016-01-05,Total,19404
2016-01-06,New Zealand passport,6887
2016-01-06,Other passports,12766
2016-01-06,Total,19653
2016-01-07,New Zealand passport,6696
2016-01-07,Other passports,12902
2016-01-07,Total,19598
2016-01-08,New Zealand passport,6917
2016-01-08,Other passports,13108
2016-01-08,Total,20025
2016-01-09,New Zealand passport,6895
2016-01-09,Other passports,13721
2016-01-09,Total,20616
2016-01-10,New Zealand passport,8086
2016-01-10,Other passports,14018
2016-01-10,Total,22104
2016-01-11,New Zealand passport,7601
2016-01-11,Other passports,12739
2016-01-11,Total,20340
2016-01-12,New Zealand passport,6590
2016-01-12,Other passports,12329
2016-01-12,Total,18919
2016-01-13,New Zealand passport,6546
2016-01-13,Other passports,11755
2016-01-13,Total,18301
2016-01-14,New Zealand passport,6278
2016-01-14,Other passports,12667
2016-01-14,Total,18945
2016-01-15,New Zealand passport,7048
2016-01-15,Other passports,12578
2016-01-15,Total,19626
2016-01-16,New Zealand passport,6747
2016-01-16,Other passports,13340
2016-01-16,Total,20087
2016-01-17,New Zealand passport,7640
2016-01-17,Other passports,12859
2016-01-17,Total,20499
2016-01-18,New Zealand passport,7538
2016-01-18,Other passports,12694
2016-01-18,Total,20232
2016-01-19,New Zealand passport,6386
2016-01-19,Other passports,11958
2016-01-19,Total,18344
2016-01-20,New Zealand passport,6755
2016-01-20,Other passports,11392
2016-01-20,Total,18147
2016-01-21,New Zealand passport,6252
2016-01-21,Other passports,12214
2016-01-21,Total,18466
2016-01-22,New Zealand passport,7673
2016-01-22,Other passports,12071
2016-01-22,Total,19744
2016-01-23,New Zealand passport,6438
2016-01-23,Other passports,11872
2016-01-23,Total,18310
2016-01-24,New Zealand passport,6381
2016-01-24,Other passports,12152
2016-01-24,Total,18533
2016-01-25,New Zealand passport,6086
2016-01-25,Other passports,14381
2016-01-25,Total,20467
2016-01-26,New Zealand passport,5195
2016-01-26,Other passports,11188
2016-01-26,Total,16383
2016-01-27,New Zealand passport,5830
2016-01-27,Other passports,11338
2016-01-27,Total,17168
2016-01-28,New Zealand passport,5578
2016-01-28,Other passports,11320
2016-01-28,Total,16898
2016-01-29,New Zealand passport,6015
2016-01-29,Other passports,10653
2016-01-29,Total,16668
2016-01-30,New Zealand passport,5440
2016-01-30,Other passports,12599
2016-01-30,Total,18039
2016-01-31,New Zealand passport,5723
2016-01-31,Other passports,12061
2016-01-31,Total,17784
2016-02-01,New Zealand passport,5498
2016-02-01,Other passports,10993
2016-02-01,Total,16491
2016-02-02,New Zealand passport,4479
2016-02-02,Other passports,9406
2016-02-02,Total,13885
2016-02-03,New Zealand passport,4771
2016-02-03,Other passports,9633
2016-02-03,Total,14404
2016-02-04,New Zealand passport,5035
2016-02-04,Other passports,10035
2016-02-04,Total,15070
2016-02-05,New Zealand passport,6295
2016-02-05,Other passports,10860
2016-02-05,Total,17155
2016-02-06,New Zealand passport,5215
2016-02-06,Other passports,9959
2016-02-06,Total,15174
2016-02-07,New Zealand passport,5391
2016-02-07,Other passports,9837
2016-02-07,Total,15228
2016-02-08,New Zealand passport,5473
2016-02-08,Other passports,12496
2016-02-08,Total,17969
2016-02-09,New Zealand passport,4478
2016-02-09,Other passports,10435
2016-02-09,Total,14913
2016-02-10,New Zealand passport,4701
2016-02-10,Other passports,11086
2016-02-10,Total,15787
2016-02-11,New Zealand passport,4586
2016-02-11,Other passports,11797
2016-02-11,Total,16383
2016-02-12,New Zealand passport,5046
2016-02-12,Other passports,12651
2016-02-12,Total,17697
2016-02-13,New Zealand passport,4809
2016-02-13,Other passports,14204
2016-02-13,Total,19013
2016-02-14,New Zealand passport,5112
2016-02-14,Other passports,14450
2016-02-14,Total,19562
2016-02-15,New Zealand passport,5021
2016-02-15,Other passports,13094
2016-02-15,Total,18115
2016-02-16,New Zealand passport,4186
2016-02-16,Other passports,12265
2016-02-16,Total,16451
2016-02-17,New Zealand passport,4755
2016-02-17,Other passports,12369
2016-02-17,Total,17124
2016-02-18,New Zealand passport,4918
2016-02-18,Other passports,13457
2016-02-18,Total,18375
2016-02-19,New Zealand passport,5907
2016-02-19,Other passports,13736
2016-02-19,Total,19643
2016-02-20,New Zealand passport,4961
2016-02-20,Other passports,16474
2016-02-20,Total,21435
2016-02-21,New Zealand passport,5178
2016-02-21,Other passports,13236
2016-02-21,Total,18414
2016-02-22,New Zealand passport,6645
2016-02-22,Other passports,14342
2016-02-22,Total,20987
2016-02-23,New Zealand passport,4465
2016-02-23,Other passports,12406
2016-02-23,Total,16871
2016-02-24,New Zealand passport,4993
2016-02-24,Other passports,12110
2016-02-24,Total,17103
2016-02-25,New Zealand passport,5070
2016-02-25,Other passports,11758
2016-02-25,Total,16828
2016-02-26,New Zealand passport,5937
2016-02-26,Other passports,13511
2016-02-26,Total,19448
2016-02-27,New Zealand passport,5297
2016-02-27,Other passports,13660
2016-02-27,Total,18957
2016-02-28,New Zealand passport,5838
2016-02-28,Other passports,13703
2016-02-28,Total,19541
2016-02-29,New Zealand passport,5418
2016-02-29,Other passports,13139
2016-02-29,Total,18557
2016-03-01,New Zealand passport,4981
2016-03-01,Other passports,11144
2016-03-01,Total,16125
2016-03-02,New Zealand passport,5504
2016-03-02,Other passports,11608
2016-03-02,Total,17112
2016-03-03,New Zealand passport,5246
2016-03-03,Other passports,10648
2016-03-03,Total,15894
2016-03-04,New Zealand passport,6670
2016-03-04,Other passports,11735
2016-03-04,Total,18405
2016-03-05,New Zealand passport,5885
2016-03-05,Other passports,12217
2016-03-05,Total,18102
2016-03-06,New Zealand passport,6222
2016-03-06,Other passports,14173
2016-03-06,Total,20395
2016-03-07,New Zealand passport,5998
2016-03-07,Other passports,12144
2016-03-07,Total,18142
2016-03-08,New Zealand passport,4674
2016-03-08,Other passports,9892
2016-03-08,Total,14566
2016-03-09,New Zealand passport,5439
2016-03-09,Other passports,10586
2016-03-09,Total,16025
2016-03-10,New Zealand passport,5725
2016-03-10,Other passports,10782
2016-03-10,Total,16507
2016-03-11,New Zealand passport,6490
2016-03-11,Other passports,13213
2016-03-11,Total,19703
2016-03-12,New Zealand passport,5836
2016-03-12,Other passports,12457
2016-03-12,Total,18293
2016-03-13,New Zealand passport,5831
2016-03-13,Other passports,12989
2016-03-13,Total,18820
2016-03-14,New Zealand passport,7088
2016-03-14,Other passports,12275
2016-03-14,Total,19363
2016-03-15,New Zealand passport,4763
2016-03-15,Other passports,10616
2016-03-15,Total,15379
2016-03-16,New Zealand passport,6099
2016-03-16,Other passports,11193
2016-03-16,Total,17292
2016-03-17,New Zealand passport,6314
2016-03-17,Other passports,12034
2016-03-17,Total,18348
2016-03-18,New Zealand passport,6661
2016-03-18,Other passports,11721
2016-03-18,Total,18382
2016-03-19,New Zealand passport,6750
2016-03-19,Other passports,12871
2016-03-19,Total,19621
2016-03-20,New Zealand passport,5894
2016-03-20,Other passports,12638
2016-03-20,Total,18532
2016-03-21,New Zealand passport,5418
2016-03-21,Other passports,12167
2016-03-21,Total,17585
2016-03-22,New Zealand passport,5584
2016-03-22,Other passports,11130
2016-03-22,Total,16714
2016-03-23,New Zealand passport,7342
2016-03-23,Other passports,11461
2016-03-23,Total,18803
2016-03-24,New Zealand passport,8331
2016-03-24,Other passports,10196
2016-03-24,Total,18527
2016-03-25,New Zealand passport,8542
2016-03-25,Other passports,11570
2016-03-25,Total,20112
2016-03-26,New Zealand passport,5661
2016-03-26,Other passports,11371
2016-03-26,Total,17032
